#10.0eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
1.56E+02,5.76E-13
1.56E+02,5.38E-13
1.56E+02,5.06E-13
1.57E+02,4.82E-13
1.57E+02,4.70E-13
1.57E+02,4.69E-13
1.57E+02,4.82E-13
1.58E+02,5.09E-13
1.58E+02,5.53E-13
1.58E+02,6.15E-13
1.58E+02,6.94E-13
1.58E+02,7.86E-13
1.59E+02,8.77E-13
1.59E+02,9.52E-13
1.59E+02,9.95E-13
1.59E+02,1.00E-12
1.60E+02,9.81E-13
1.60E+02,9.48E-13
1.60E+02,9.21E-13
1.60E+02,9.07E-13
1.61E+02,9.10E-13
1.61E+02,9.32E-13
1.61E+02,9.68E-13
1.61E+02,1.01E-12
1.61E+02,1.04E-12
1.62E+02,1.04E-12
1.62E+02,1.00E-12
1.62E+02,9.27E-13
1.62E+02,8.36E-13
1.63E+02,7.43E-13
1.63E+02,6.61E-13
1.63E+02,5.97E-13
1.63E+02,5.51E-13
1.63E+02,5.20E-13
1.64E+02,5.04E-13
1.64E+02,5.00E-13
1.64E+02,5.06E-13
1.64E+02,5.20E-13
1.64E+02,5.37E-13
1.65E+02,5.54E-13
1.65E+02,5.64E-13
1.65E+02,5.65E-13
1.65E+02,5.53E-13
1.66E+02,5.31E-13
1.66E+02,5.04E-13
1.66E+02,4.78E-13
1.66E+02,4.56E-13
1.66E+02,4.40E-13
1.66E+02,4.33E-13
1.67E+02,4.34E-13
1.67E+02,4.45E-13
1.67E+02,4.64E-13
1.67E+02,4.90E-13
1.67E+02,5.22E-13
1.68E+02,5.55E-13
1.68E+02,5.85E-13
1.68E+02,6.04E-13
1.68E+02,6.06E-13
1.68E+02,5.90E-13
1.69E+02,5.61E-13
1.69E+02,5.25E-13
1.69E+02,4.89E-13
1.69E+02,4.56E-13
1.69E+02,4.29E-13
1.69E+02,4.09E-13
1.70E+02,3.96E-13
1.70E+02,3.88E-13
1.70E+02,3.83E-13
1.70E+02,3.80E-13
1.70E+02,3.78E-13
1.70E+02,3.75E-13
1.71E+02,3.69E-13
1.71E+02,3.58E-13
1.71E+02,3.44E-13
1.71E+02,3.26E-13
1.71E+02,3.08E-13
1.71E+02,2.90E-13
1.72E+02,2.74E-13
1.72E+02,2.61E-13
1.72E+02,2.51E-13
1.72E+02,2.45E-13
1.72E+02,2.42E-13
1.72E+02,2.42E-13
1.72E+02,2.47E-13
1.73E+02,2.53E-13
1.73E+02,2.62E-13
1.73E+02,2.72E-13
1.73E+02,2.83E-13
1.73E+02,2.92E-13
1.73E+02,2.99E-13
1.73E+02,3.01E-13
1.74E+02,2.98E-13
1.74E+02,2.90E-13
1.74E+02,2.78E-13
1.74E+02,2.64E-13
1.74E+02,2.49E-13
1.74E+02,2.34E-13
1.74E+02,2.21E-13
1.75E+02,2.08E-13
1.75E+02,1.98E-13
1.75E+02,1.89E-13
1.75E+02,1.82E-13
1.75E+02,1.77E-13
1.75E+02,1.72E-13
1.75E+02,1.68E-13
1.75E+02,1.65E-13
1.75E+02,1.61E-13
1.76E+02,1.58E-13
1.76E+02,1.55E-13
1.76E+02,1.51E-13
1.76E+02,1.48E-13
1.76E+02,1.45E-13
