# Gacesa et al., doi:10.5281/zenodo.3256699. Raw CSs_3pes, even j for 12C16O2 v=0.
# Includes elastic diagonals; independent variable is MOLSCAT total energy.
total_energy_eV,ji,jf,sigma_cm2
0.153740404768,24,46,1.991580000000e-17
0.153740404768,24,48,1.646620000000e-17
0.153740404768,24,50,1.205938000000e-17
0.153740404768,24,52,8.543737000000e-18
0.153740404768,24,54,6.248185000000e-18
0.153740404768,26,0,3.438300000000e-18
0.153740404768,26,2,1.583533000000e-17
0.153740404768,26,4,2.796453000000e-17
0.153740404768,26,6,4.374830000000e-17
0.153740404768,26,8,5.814887000000e-17
0.153740404768,26,10,6.560553000000e-17
0.153740404768,26,12,7.109200000000e-17
0.153740404768,26,14,7.422487000000e-17
0.153740404768,26,16,7.506787000000e-17
0.153740404768,26,18,8.427797000000e-17
0.153740404768,26,20,1.029425000000e-16
0.153740404768,26,22,1.584217000000e-16
0.153740404768,26,24,3.426400000000e-16
0.153740404768,26,26,7.406877000000e-15
0.153740404768,26,28,3.160980000000e-16
0.153740404768,26,30,1.239403000000e-16
0.153740404768,26,32,7.932840000000e-17
0.153740404768,26,34,6.173527000000e-17
0.153740404768,26,36,4.743123000000e-17
0.153740404768,26,38,3.981057000000e-17
0.153740404768,26,40,3.647567000000e-17
0.153740404768,26,42,2.970550000000e-17
0.153740404768,26,44,2.359087000000e-17
0.153740404768,26,46,2.005083000000e-17
0.153740404768,26,48,1.657970000000e-17
0.153740404768,26,50,1.309651000000e-17
0.153740404768,26,52,8.894770000000e-18
0.153740404768,26,54,6.379715000000e-18
0.153740404768,28,0,2.476460000000e-18
0.153740404768,28,2,1.367853000000e-17
0.153740404768,28,4,2.565723000000e-17
0.153740404768,28,6,3.578663000000e-17
0.153740404768,28,8,5.195110000000e-17
0.153740404768,28,10,5.850523000000e-17
0.153740404768,28,12,5.796147000000e-17
0.153740404768,28,14,6.037183000000e-17
0.153740404768,28,16,6.304677000000e-17
0.153740404768,28,18,6.639687000000e-17
0.153740404768,28,20,7.603847000000e-17
0.153740404768,28,22,9.307213000000e-17
0.153740404768,28,24,1.340254000000e-16
0.153740404768,28,26,3.075820000000e-16
0.153740404768,28,28,7.032127000000e-15
0.153740404768,28,30,2.679590000000e-16
0.153740404768,28,32,1.077772000000e-16
0.153740404768,28,34,7.157207000000e-17
0.153740404768,28,36,5.563633000000e-17
0.153740404768,28,38,4.305330000000e-17
0.153740404768,28,40,3.517187000000e-17
0.153740404768,28,42,3.186803000000e-17
0.153740404768,28,44,2.682713000000e-17
0.153740404768,28,46,2.057293000000e-17
0.153740404768,28,48,1.674437000000e-17
0.153740404768,28,50,1.369947000000e-17
0.153740404768,28,52,9.381113000000e-18
0.153740404768,28,54,6.595211000000e-18
0.153740404768,30,0,2.761707000000e-18
0.153740404768,30,2,1.186517000000e-17
0.153740404768,30,4,2.245450000000e-17
0.153740404768,30,6,3.162553000000e-17
0.153740404768,30,8,4.434170000000e-17
0.153740404768,30,10,5.147373000000e-17
0.153740404768,30,12,5.127677000000e-17
0.153740404768,30,14,4.941573000000e-17
0.153740404768,30,16,5.173360000000e-17
0.153740404768,30,18,5.874687000000e-17
0.153740404768,30,20,5.958267000000e-17
0.153740404768,30,22,6.741913000000e-17
0.153740404768,30,24,8.336020000000e-17
0.153740404768,30,26,1.186090000000e-16
0.153740404768,30,28,2.635323000000e-16
0.153740404768,30,30,6.738603000000e-15
0.153740404768,30,32,2.315020000000e-16
0.153740404768,30,34,9.117033000000e-17
0.153740404768,30,36,6.669927000000e-17
0.153740404768,30,38,5.212777000000e-17
0.153740404768,30,40,3.893890000000e-17
0.153740404768,30,42,3.227713000000e-17
0.153740404768,30,44,2.758433000000e-17
0.153740404768,30,46,2.385563000000e-17
0.153740404768,30,48,1.764693000000e-17
0.153740404768,30,50,1.436413000000e-17
0.153740404768,30,52,1.004930000000e-17
0.153740404768,30,54,7.017356000000e-18
0.153740404768,32,0,2.534797000000e-18
0.153740404768,32,2,1.046864000000e-17
0.153740404768,32,4,1.869923000000e-17
0.153740404768,32,6,2.917523000000e-17
0.153740404768,32,8,3.907013000000e-17
0.153740404768,32,10,4.440423000000e-17
0.153740404768,32,12,4.588103000000e-17
0.153740404768,32,14,4.284393000000e-17
