#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
291938,1896560000000,52828400000,21266000000,7110600000
292018,1892200000000,52594200000,21171700000,7062940000
294978,1737290000000,44601900000,17954400000,5503720000
294999,1736270000000,44551600000,17936700000,5494330000
295955,1689000000000,42193800000,17120100000,5068850000
298477,1542170000000,36560200000,15141400000,4098690000
298496,1541070000000,36519400000,15122100000,4091920000
299892,1465410000000,34119300000,13811200000,3637950000
301506,1398730000000,31539300000,12436100000,3175330000
301536,1397500000000,31492600000,12411600000,3167210000
301994,1379150000000,30797800000,12137700000,3047310000
303829,1308050000000,27337100000,11100100000,2610850000
305035,1263330000000,25277500000,10467000000,2358660000
305054,1262610000000,25245300000,10457000000,2354760000
306768,1201700000000,23223500000,9619560000,2038170000
307766,1167580000000,22121100000,9162920000,1873720000
308533,1135740000000,21310400000,8827100000,1756530000
308553,1134930000000,21290000000,8818660000,1753620000
310706,1050120000000,18884600000,7940530000,1462650000
311613,1016310000000,17954400000,7597280000,1355020000
311703,1013020000000,17862800000,7564070000,1344780000
312031,1003470000000,17532700000,7444120000,1308110000
314643,930625000000,15113800000,6282210000,1049700000
315091,918676000000,14733900000,6102030000,1010820000
315111,918156000000,14717400000,6096200000,1009150000
315640,904232000000,14342600000,5940940000,965110000
318581,821903000000,12428500000,5148060000,753297000
318589,821684000000,12423500000,5146000000,752775000
318609,821160000000,12411600000,5140860000,751530000
320890,762562000000,10931500000,4578140000,620142000
321669,745595000000,10467000000,4400210000,580703000
324827,680673000000,8974870000,3747760000,445057000
325168,674012000000,8827100000,3683390000,432458000
328646,609647000000,7243500000,3086420000,322590000
328665,609313000000,7235680000,3083440000,322074000
328764,607578000000,7195970000,3067990000,319404000
331726,562605000000,6102030000,2639210000,248865000
333139,542333000000,5696060000,2456250000,220925000
335224,510671000000,5146000000,2209260000,185333000
337076,484093000000,4702000000,2010740000,158551000
338722,456190000000,4339750000,1849360000,138020000
341013,420009000000,3826340000,1646080000,113793000
344406,380839000000,3175330000,1385310000,85497600
344950,374906000000,3081770000,1347520000,81665900
348888,334646000000,2482080000,1103100000,58609100
352825,298710000000,1999090000,903022000,42061900
356762,266632000000,1610080000,739232000,30186500
360699,238000000000,1296770000,605150000,21663900
362449,224858000000,1177870000,553651000,18694300
366386,195091000000,948700000,453244000,13417000
369448,174141000000,801759000,387920000,10366200
373823,159918000000,630370000,310561000,7169690
377761,142745000000,507705000,254231000,5145460
381698,127416000000,408910000,208119000,3692740
385635,113734000000,329340000,170370000,2650160
398786,79508500000,159860000,87315200,875108
399197,78622200000,156283000,85506600,845266
399210,78595100000,156174000,85451500,844364
399218,78577500000,156103000,85415800,843779
