#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
183164,208326000000000,96197800000000,64114800000000,550479000000000
184597,201964000000000,90763800000000,60259100000000,501576000000000
185552,197832000000000,87312700000000,57818300000000,471412000000000
186030,195124000000000,85636700000000,56635200000000,457017000000000
186507,192453000000000,84173900000000,55476300000000,443062000000000
187940,184658000000000,79933900000000,52342600000000,403702000000000
188418,182130000000000,78568600000000,51337900000000,391375000000000
189851,174753000000000,74610900000000,48437900000000,356606000000000
190328,172956000000000,73336400000000,47508100000000,345717000000000
191284,169417000000000,70548000000000,45899000000000,324926000000000
193194,162554000000000,65285200000000,42842400000000,287020000000000
193672,160883000000000,64032000000000,42110700000000,279337000000000
194149,159228000000000,62802900000000,41391400000000,271859000000000
194627,157754000000000,61517800000000,40684400000000,264581000000000
195582,154846000000000,59026100000000,38835200000000,250605000000000
196060,153412000000000,57818300000000,37942400000000,243896000000000
197015,150584000000000,55476300000000,36217800000000,231013000000000
197493,149189000000000,54341200000000,35385200000000,222969000000000
198448,146439000000000,52140100000000,33776900000000,207711000000000
198925,145083000000000,51139200000000,33314500000000,200479000000000
200358,140653000000000,48250500000000,31965100000000,180257000000000
200836,139206000000000,47324300000000,31527600000000,175529000000000
201791,136358000000000,45524900000000,30670400000000,166441000000000
202269,134956000000000,44651000000000,30250500000000,162075000000000
202746,133568000000000,43888400000000,29836500000000,157824000000000
203224,132194000000000,43138700000000,29263700000000,153684000000000
203701,130712000000000,42401900000000,28702000000000,149653000000000
204179,129246000000000,41677600000000,28151100000000,145458000000000
204657,127797000000000,40965700000000,27610700000000,141382000000000
205612,124947000000000,39578200000000,26560900000000,133568000000000
206090,123546000000000,38902200000000,26051000000000,129824000000000
206567,122160000000000,38237700000000,25551000000000,126186000000000
208000,118097000000000,35660600000000,24263900000000,115871000000000
208955,115463000000000,34039800000000,23442100000000,109467000000000
209910,112888000000000,32492600000000,22648100000000,103417000000000
210388,111622000000000,31745600000000,22261300000000,100518000000000
210866,110370000000000,31257200000000,21881000000000,97701000000000
211821,107909000000000,30302700000000,21049000000000,92301300000000
212299,106699000000000,29836500000000,20645000000000,89714400000000
213731,103150000000000,28480400000000,19478800000000,82380600000000
214209,101878000000000,28042200000000,19104900000000,80071700000000
214687,100622000000000,27563200000000,18738200000000,77827600000000
215164,99381700000000,27092400000000,18418100000000,75646300000000
216119,96946500000000,26174700000000,17794300000000,71650400000000
216597,95751300000000,25727700000000,17490300000000,69732400000000
218030,92253600000000,24431700000000,16609300000000,64280700000000
218507,91116300000000,24014400000000,16325600000000,62559900000000
218985,90179300000000,23462300000000,16046800000000,60885200000000
220896,86526500000000,21378000000000,14849700000000,52681900000000
221851,84756000000000,20406300000000,14285100000000,49004500000000
222328,83884400000000,19937200000000,14010900000000,47692600000000
222806,83021800000000,19554500000000,13741900000000,46415900000000
225672,79658900000000,17407700000000,12392400000000,39442100000000
226149,79111900000000,17073500000000,12180700000000,38407500000000
227104,78029000000000,16495200000000,11768100000000,36419000000000
229015,75178600000000,15396800000000,10984400000000,32745500000000
229970,73792700000000,14875300000000,10612400000000,30776200000000
230448,73109400000000,14621200000000,10431100000000,29836500000000
231403,71761600000000,13956600000000,10077800000000,28042200000000
231881,71097100000000,13635800000000,9909960000000,27185900000000
232358,70123900000000,13322300000000,9744880000000,26355800000000
233313,68217300000000,12716800000000,9422940000000,24770800000000
234269,66362500000000,12138800000000,9111630000000,23281100000000
235701,63674500000000,11527300000000,8663840000000,21212900000000
236179,62802900000000,11330400000000,8519520000000,20725200000000
236657,62157100000000,11136900000000,8377610000000,20248700000000
237612,60885200000000,10759700000000,8100830000000,19328400000000
238567,59639400000000,10395300000000,7833200000000,18449900000000
239522,58419000000000,10017500000000,7574410000000,17611300000000
240000,57818300000000,9833840000000,7448240000000,17073500000000
240478,57223700000000,9653520000000,7324170000000,16552200000000
240955,56693800000000,9476510000000,7202170000000,16046800000000
241433,56168800000000,9302740000000,7082200000000,15556800000000
242866,54622800000000,8800330000000,6734150000000,14174700000000
243821,53615800000000,8480550000000,6428070000000,13440900000000
244776,52627400000000,8172390000000,6135910000000,12745000000000
245254,52140100000000,8022540000000,5994840000000,12410700000000
245731,51603900000000,7875440000000,5857020000000,12085100000000
246209,51073200000000,7731030000000,5722370000000,11768100000000
246687,50548000000000,7589270000000,5590810000000,11453100000000
247164,50028100000000,7450110000000,5495310000000,11146500000000
248119,49004500000000,7179390000000,5309190000000,10557700000000
249552,47508100000000,6791660000000,5041750000000,9732300000000
250030,47019500000000,6667120000000,4955630000000,9471770000000
250507,46536000000000,6544870000000,4870990000000,9223310000000
250985,46057400000000,6424860000000,4787790000000,8981380000000
251940,45115000000000,6191400000000,4657610000000,8516380000000
253373,43737400000000,5857020000000,4468950000000,7863630000000
253851,43287600000000,5749620000000,4407780000000,7653120000000
254806,42754000000000,5540700000000,4287940000000,7248850000000
255284,42489600000000,5439100000000,4229240000000,7054800000000
255761,42226900000000,5339370000000,4157000000000,6865950000000
257194,41448500000000,5051010000000,3947610000000,6329170000000
258149,40937500000000,4867470000000,3813900000000,5948550000000
258627,40684400000000,4778220000000,3748750000000,5766900000000
259582,39851900000000,4604590000000,3621780000000,5420090000000
260060,39442100000000,4520160000000,3538520000000,5254590000000
260537,39036400000000,4437270000000,3457170000000,5094140000000
261970,37844500000000,4197630000000,3224170000000,4703690000000
262448,37455300000000,4120660000000,3150040000000,4580310000000
262925,37070100000000,4045100000000,3077620000000,4460160000000
263403,36562700000000,3970930000000,3006870000000,4343170000000
263881,36062200000000,3898120000000,2955510000000,4229240000000
264358,35568600000000,3826640000000,2905030000000,4118310000000
267224,32745500000000,3424470000000,2619730000000,3511190000000
267701,32543000000000,3361680000000,2574980000000,3419090000000
268179,32341800000000,3300030000000,2539740000000,3329400000000
269134,31943100000000,3150040000000,2470680000000,3157030000000
270567,31354200000000,2937740000000,2370610000000,2915050000000
271045,31160400000000,2870200000000,2338160000000,2838590000000
272000,30776200000000,2739750000000,2274590000000,2691620000000
272478,30459700000000,2688590000000,2240270000000,2621020000000
274388,29226000000000,2493320000000,2108110000000,2356650000000
275821,28333500000000,2356240000000,2014130000000,2176020000000
276299,28042200000000,2312240000000,1983740000000,2118940000000
278209,26684700000000,2144310000000,1866710000000,1905210000000
279164,26030800000000,2064970000000,1810810000000,1806570000000
281075,24770800000000,1915000000000,1703980000000,1624340000000
282030,24263900000000,1844150000000,1652960000000,1540250000000
282507,24014400000000,1809710000000,1628020000000,1499840000000
283463,23523000000000,1742750000000,1579270000000,1422190000000
285373,22570200000000,1616180000000,1486100000000,1278740000000
285851,22415200000000,1586000000000,1463680000000,1245200000000
