#3.9eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
1.25E+02,3.35E-11
1.25E+02,3.37E-11
1.25E+02,3.39E-11
1.26E+02,3.43E-11
1.26E+02,3.46E-11
1.26E+02,3.47E-11
1.27E+02,3.48E-11
1.27E+02,3.48E-11
1.27E+02,3.50E-11
1.28E+02,3.52E-11
1.28E+02,3.55E-11
1.28E+02,3.58E-11
1.29E+02,3.61E-11
1.29E+02,3.65E-11
1.29E+02,3.72E-11
1.30E+02,3.78E-11
1.30E+02,3.82E-11
1.30E+02,3.83E-11
1.31E+02,3.83E-11
1.31E+02,3.83E-11
1.31E+02,3.84E-11
1.32E+02,3.85E-11
1.32E+02,3.86E-11
1.32E+02,3.86E-11
1.33E+02,3.87E-11
1.33E+02,3.92E-11
1.33E+02,4.00E-11
1.34E+02,4.08E-11
1.34E+02,4.15E-11
1.34E+02,4.19E-11
1.34E+02,4.20E-11
1.35E+02,4.22E-11
1.35E+02,4.26E-11
1.35E+02,4.28E-11
1.36E+02,4.29E-11
1.36E+02,4.28E-11
1.36E+02,4.27E-11
1.37E+02,4.28E-11
1.37E+02,4.34E-11
1.37E+02,4.42E-11
1.38E+02,4.51E-11
1.38E+02,4.56E-11
1.38E+02,4.60E-11
1.39E+02,4.64E-11
1.39E+02,4.69E-11
1.39E+02,4.76E-11
1.40E+02,4.81E-11
1.40E+02,4.83E-11
1.40E+02,4.83E-11
1.40E+02,4.82E-11
1.41E+02,4.85E-11
1.41E+02,4.91E-11
1.41E+02,4.98E-11
1.42E+02,5.05E-11
1.42E+02,5.09E-11
1.42E+02,5.12E-11
1.43E+02,5.16E-11
1.43E+02,5.22E-11
1.43E+02,5.30E-11
1.43E+02,5.37E-11
1.44E+02,5.42E-11
1.44E+02,5.44E-11
1.44E+02,5.46E-11
1.45E+02,5.51E-11
1.45E+02,5.58E-11
1.45E+02,5.67E-11
1.45E+02,5.74E-11
1.46E+02,5.79E-11
1.46E+02,5.82E-11
1.46E+02,5.84E-11
1.47E+02,5.87E-11
1.47E+02,5.93E-11
1.47E+02,5.99E-11
1.47E+02,6.04E-11
1.48E+02,6.07E-11
1.48E+02,6.10E-11
1.48E+02,6.14E-11
1.49E+02,6.21E-11
1.49E+02,6.32E-11
1.49E+02,6.44E-11
1.49E+02,6.55E-11
1.50E+02,6.63E-11
1.50E+02,6.69E-11
1.50E+02,6.74E-11
1.51E+02,6.79E-11
1.51E+02,6.85E-11
1.51E+02,6.91E-11
1.51E+02,6.95E-11
1.52E+02,6.97E-11
1.52E+02,6.98E-11
1.52E+02,6.99E-11
1.52E+02,7.04E-11
1.53E+02,7.13E-11
1.53E+02,7.25E-11
1.53E+02,7.38E-11
1.53E+02,7.52E-11
1.54E+02,7.65E-11
1.54E+02,7.77E-11
1.54E+02,7.88E-11
1.55E+02,8.00E-11
1.55E+02,8.10E-11
1.55E+02,8.20E-11
1.55E+02,8.27E-11
1.56E+02,8.30E-11
1.56E+02,8.31E-11
1.56E+02,8.31E-11
1.56E+02,8.33E-11
1.57E+02,8.38E-11
1.57E+02,8.46E-11
1.57E+02,8.57E-11
1.57E+02,8.70E-11
1.58E+02,8.85E-11
1.58E+02,9.01E-11
1.58E+02,9.19E-11
1.58E+02,9.38E-11
1.58E+02,9.58E-11
1.59E+02,9.78E-11
1.59E+02,9.96E-11
1.59E+02,1.01E-10
1.59E+02,1.02E-10
1.60E+02,1.03E-10
1.60E+02,1.03E-10
1.60E+02,1.03E-10
1.60E+02,1.03E-10
1.61E+02,1.04E-10
1.61E+02,1.04E-10
1.61E+02,1.05E-10
1.61E+02,1.06E-10
1.61E+02,1.07E-10
1.62E+02,1.08E-10
1.62E+02,1.10E-10
1.62E+02,1.12E-10
1.62E+02,1.15E-10
1.63E+02,1.18E-10
1.63E+02,1.21E-10
1.63E+02,1.24E-10
1.63E+02,1.26E-10
1.63E+02,1.28E-10
1.64E+02,1.30E-10
1.64E+02,1.32E-10
1.64E+02,1.33E-10
1.64E+02,1.34E-10
1.64E+02,1.35E-10
1.65E+02,1.36E-10
1.65E+02,1.36E-10
1.65E+02,1.37E-10
1.65E+02,1.37E-10
1.66E+02,1.38E-10
1.66E+02,1.39E-10
1.66E+02,1.40E-10
1.66E+02,1.43E-10
1.66E+02,1.45E-10
1.66E+02,1.49E-10
1.67E+02,1.52E-10
1.67E+02,1.56E-10
1.67E+02,1.59E-10
1.67E+02,1.63E-10
1.67E+02,1.67E-10
1.68E+02,1.70E-10
1.68E+02,1.73E-10
1.68E+02,1.77E-10
1.68E+02,1.80E-10
1.68E+02,1.83E-10
1.69E+02,1.86E-10
1.69E+02,1.88E-10
1.69E+02,1.91E-10
1.69E+02,1.92E-10
1.69E+02,1.93E-10
1.69E+02,1.94E-10
1.70E+02,1.96E-10
1.70E+02,1.97E-10
1.70E+02,1.99E-10
1.70E+02,2.02E-10
1.70E+02,2.05E-10
1.70E+02,2.09E-10
1.71E+02,2.13E-10
1.71E+02,2.18E-10
1.71E+02,2.22E-10
1.71E+02,2.28E-10
1.71E+02,2.33E-10
1.71E+02,2.39E-10
