#1.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
1.37E+02,7.73E-17
1.38E+02,7.68E-17
1.38E+02,7.62E-17
1.38E+02,7.55E-17
1.39E+02,7.49E-17
1.39E+02,7.42E-17
1.39E+02,7.37E-17
1.40E+02,7.32E-17
1.40E+02,7.28E-17
1.40E+02,7.24E-17
1.40E+02,7.19E-17
1.41E+02,7.12E-17
1.41E+02,7.04E-17
1.41E+02,6.95E-17
1.42E+02,6.86E-17
1.42E+02,6.77E-17
1.42E+02,6.68E-17
1.43E+02,6.59E-17
1.43E+02,6.50E-17
1.43E+02,6.39E-17
1.43E+02,6.29E-17
1.44E+02,6.18E-17
1.44E+02,6.08E-17
1.44E+02,6.00E-17
1.45E+02,5.93E-17
1.45E+02,5.87E-17
1.45E+02,5.83E-17
1.45E+02,5.78E-17
1.46E+02,5.73E-17
1.46E+02,5.66E-17
1.46E+02,5.59E-17
1.47E+02,5.52E-17
1.47E+02,5.46E-17
1.47E+02,5.40E-17
1.47E+02,5.35E-17
1.48E+02,5.31E-17
1.48E+02,5.26E-17
1.48E+02,5.20E-17
1.49E+02,5.13E-17
1.49E+02,5.05E-17
1.49E+02,4.97E-17
1.49E+02,4.90E-17
1.50E+02,4.84E-17
1.50E+02,4.80E-17
1.50E+02,4.77E-17
1.51E+02,4.74E-17
1.51E+02,4.71E-17
1.51E+02,4.66E-17
1.51E+02,4.61E-17
1.52E+02,4.54E-17
1.52E+02,4.48E-17
1.52E+02,4.41E-17
1.52E+02,4.36E-17
1.53E+02,4.32E-17
1.53E+02,4.28E-17
1.53E+02,4.24E-17
1.53E+02,4.20E-17
1.54E+02,4.15E-17
1.54E+02,4.08E-17
1.54E+02,4.01E-17
1.55E+02,3.94E-17
1.55E+02,3.88E-17
1.55E+02,3.82E-17
1.55E+02,3.77E-17
1.56E+02,3.74E-17
1.56E+02,3.71E-17
1.56E+02,3.67E-17
1.56E+02,3.63E-17
1.57E+02,3.58E-17
1.57E+02,3.52E-17
1.57E+02,3.45E-17
1.57E+02,3.38E-17
1.58E+02,3.32E-17
1.58E+02,3.26E-17
1.58E+02,3.21E-17
1.58E+02,3.17E-17
1.58E+02,3.13E-17
1.59E+02,3.10E-17
1.59E+02,3.06E-17
1.59E+02,3.01E-17
1.59E+02,2.96E-17
1.60E+02,2.90E-17
1.60E+02,2.85E-17
1.60E+02,2.80E-17
1.60E+02,2.76E-17
1.61E+02,2.73E-17
1.61E+02,2.71E-17
1.61E+02,2.69E-17
1.61E+02,2.68E-17
1.61E+02,2.67E-17
1.62E+02,2.65E-17
1.62E+02,2.63E-17
1.62E+02,2.59E-17
1.62E+02,2.56E-17
1.63E+02,2.52E-17
1.63E+02,2.48E-17
1.63E+02,2.44E-17
1.63E+02,2.41E-17
1.63E+02,2.39E-17
1.64E+02,2.37E-17
1.64E+02,2.35E-17
1.64E+02,2.33E-17
1.64E+02,2.31E-17
1.64E+02,2.28E-17
1.65E+02,2.25E-17
1.65E+02,2.22E-17
1.65E+02,2.18E-17
1.65E+02,2.14E-17
1.66E+02,2.11E-17
1.66E+02,2.08E-17
1.66E+02,2.05E-17
1.66E+02,2.03E-17
1.66E+02,2.02E-17
1.66E+02,2.01E-17
1.67E+02,1.99E-17
1.67E+02,1.98E-17
1.67E+02,1.97E-17
1.67E+02,1.95E-17
1.67E+02,1.92E-17
1.68E+02,1.90E-17
1.68E+02,1.87E-17
1.68E+02,1.84E-17
1.68E+02,1.80E-17
1.68E+02,1.77E-17
1.69E+02,1.75E-17
1.69E+02,1.72E-17
1.69E+02,1.70E-17
1.69E+02,1.67E-17
1.69E+02,1.65E-17
1.69E+02,1.63E-17
1.70E+02,1.61E-17
1.70E+02,1.59E-17
1.70E+02,1.57E-17
1.70E+02,1.54E-17
1.70E+02,1.51E-17
1.70E+02,1.48E-17
1.71E+02,1.45E-17
1.71E+02,1.42E-17
1.71E+02,1.39E-17
1.71E+02,1.36E-17
1.71E+02,1.33E-17
1.71E+02,1.31E-17
1.72E+02,1.29E-17
1.72E+02,1.26E-17
1.72E+02,1.24E-17
1.72E+02,1.23E-17
1.72E+02,1.21E-17
1.72E+02,1.19E-17
1.72E+02,1.17E-17
1.73E+02,1.15E-17
1.73E+02,1.13E-17
1.73E+02,1.11E-17
1.73E+02,1.08E-17
1.73E+02,1.06E-17
1.73E+02,1.04E-17
1.73E+02,1.01E-17
1.74E+02,9.86E-18
1.74E+02,9.62E-18
1.74E+02,9.38E-18
1.74E+02,9.16E-18
1.74E+02,8.94E-18
1.74E+02,8.74E-18
1.74E+02,8.54E-18
1.75E+02,8.35E-18
1.75E+02,8.17E-18
1.75E+02,7.99E-18
1.75E+02,7.82E-18
1.75E+02,7.65E-18
1.75E+02,7.48E-18
1.75E+02,7.30E-18
1.75E+02,7.13E-18
1.75E+02,6.95E-18
1.76E+02,6.77E-18
1.76E+02,6.59E-18
1.76E+02,6.40E-18
1.76E+02,6.22E-18
1.76E+02,6.03E-18
1.76E+02,5.85E-18
1.76E+02,5.68E-18
1.76E+02,5.50E-18
1.76E+02,5.34E-18
1.77E+02,5.18E-18
1.77E+02,5.02E-18
1.77E+02,4.87E-18
1.77E+02,4.73E-18
1.77E+02,4.59E-18
1.77E+02,4.46E-18
1.77E+02,4.33E-18
1.77E+02,4.21E-18
1.77E+02,4.09E-18
1.77E+02,3.98E-18
1.78E+02,3.86E-18
1.78E+02,3.75E-18
1.78E+02,3.64E-18
1.78E+02,3.54E-18
1.78E+02,3.43E-18
1.78E+02,3.33E-18
1.78E+02,3.23E-18
1.78E+02,3.12E-18
1.78E+02,3.02E-18
1.78E+02,2.92E-18
1.78E+02,2.81E-18
1.78E+02,2.71E-18
1.78E+02,2.61E-18
1.78E+02,2.50E-18
1.79E+02,2.40E-18
1.79E+02,2.30E-18
1.79E+02,2.20E-18
1.79E+02,2.10E-18
1.79E+02,2.00E-18
1.79E+02,1.90E-18
1.79E+02,1.81E-18
1.79E+02,1.72E-18
1.79E+02,1.63E-18
1.79E+02,1.54E-18
1.79E+02,1.45E-18
1.79E+02,1.37E-18
1.79E+02,1.28E-18
1.79E+02,1.21E-18
1.79E+02,1.13E-18
1.79E+02,1.05E-18
1.79E+02,9.83E-19
1.79E+02,9.14E-19
1.80E+02,8.47E-19
1.80E+02,7.83E-19
1.80E+02,7.21E-19
1.80E+02,6.62E-19
1.80E+02,6.05E-19
1.80E+02,5.51E-19
1.80E+02,4.99E-19
1.80E+02,4.50E-19
1.80E+02,4.03E-19
1.80E+02,3.59E-19
1.80E+02,3.18E-19
1.80E+02,2.79E-19
1.80E+02,2.42E-19
1.80E+02,2.08E-19
1.80E+02,1.77E-19
1.80E+02,1.48E-19
1.80E+02,1.22E-19
1.80E+02,9.81E-20
1.80E+02,7.70E-20
1.80E+02,5.84E-20
1.80E+02,4.24E-20
1.80E+02,2.89E-20
1.80E+02,1.80E-20
1.80E+02,9.72E-21
179.9975561,3.95E-21
179.999275,7.51E-22
