#2.5eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
1.57E+02,3.02E-17
1.57E+02,2.97E-17
1.57E+02,2.92E-17
1.57E+02,2.88E-17
1.58E+02,2.85E-17
1.58E+02,2.82E-17
1.58E+02,2.79E-17
1.58E+02,2.76E-17
1.58E+02,2.72E-17
1.59E+02,2.69E-17
1.59E+02,2.65E-17
1.59E+02,2.61E-17
1.59E+02,2.58E-17
1.60E+02,2.56E-17
1.60E+02,2.55E-17
1.60E+02,2.54E-17
1.60E+02,2.52E-17
1.61E+02,2.50E-17
1.61E+02,2.47E-17
1.61E+02,2.44E-17
1.61E+02,2.40E-17
1.61E+02,2.35E-17
1.62E+02,2.31E-17
1.62E+02,2.26E-17
1.62E+02,2.22E-17
1.62E+02,2.19E-17
1.63E+02,2.16E-17
1.63E+02,2.12E-17
1.63E+02,2.09E-17
1.63E+02,2.06E-17
1.63E+02,2.02E-17
1.64E+02,1.99E-17
1.64E+02,1.95E-17
1.64E+02,1.93E-17
1.64E+02,1.90E-17
1.64E+02,1.89E-17
1.65E+02,1.88E-17
1.65E+02,1.87E-17
1.65E+02,1.86E-17
1.65E+02,1.85E-17
1.66E+02,1.84E-17
1.66E+02,1.83E-17
1.66E+02,1.81E-17
1.66E+02,1.79E-17
1.66E+02,1.76E-17
1.66E+02,1.73E-17
1.67E+02,1.70E-17
1.67E+02,1.68E-17
1.67E+02,1.65E-17
1.67E+02,1.62E-17
1.67E+02,1.59E-17
1.68E+02,1.56E-17
1.68E+02,1.53E-17
1.68E+02,1.50E-17
1.68E+02,1.47E-17
1.68E+02,1.44E-17
1.69E+02,1.41E-17
1.69E+02,1.38E-17
1.69E+02,1.35E-17
1.69E+02,1.33E-17
1.69E+02,1.31E-17
1.69E+02,1.29E-17
1.70E+02,1.27E-17
1.70E+02,1.26E-17
1.70E+02,1.24E-17
1.70E+02,1.22E-17
1.70E+02,1.20E-17
1.70E+02,1.18E-17
1.71E+02,1.16E-17
1.71E+02,1.14E-17
1.71E+02,1.11E-17
1.71E+02,1.09E-17
1.71E+02,1.07E-17
1.71E+02,1.04E-17
1.72E+02,1.02E-17
1.72E+02,9.91E-18
1.72E+02,9.66E-18
1.72E+02,9.41E-18
1.72E+02,9.16E-18
1.72E+02,8.91E-18
1.72E+02,8.66E-18
1.73E+02,8.40E-18
1.73E+02,8.15E-18
1.73E+02,7.90E-18
1.73E+02,7.67E-18
1.73E+02,7.44E-18
1.73E+02,7.23E-18
1.73E+02,7.04E-18
1.74E+02,6.87E-18
1.74E+02,6.71E-18
1.74E+02,6.57E-18
1.74E+02,6.45E-18
1.74E+02,6.33E-18
1.74E+02,6.23E-18
1.74E+02,6.14E-18
1.75E+02,6.04E-18
1.75E+02,5.96E-18
1.75E+02,5.87E-18
1.75E+02,5.78E-18
1.75E+02,5.70E-18
1.75E+02,5.62E-18
1.75E+02,5.53E-18
1.75E+02,5.46E-18
1.75E+02,5.39E-18
1.76E+02,5.32E-18
1.76E+02,5.26E-18
1.76E+02,5.20E-18
1.76E+02,5.14E-18
1.76E+02,5.08E-18
1.76E+02,5.03E-18
1.76E+02,4.97E-18
1.76E+02,4.90E-18
1.76E+02,4.84E-18
1.77E+02,4.76E-18
1.77E+02,4.68E-18
1.77E+02,4.60E-18
1.77E+02,4.51E-18
1.77E+02,4.41E-18
1.77E+02,4.31E-18
1.77E+02,4.19E-18
1.77E+02,4.08E-18
1.77E+02,3.95E-18
1.77E+02,3.83E-18
1.78E+02,3.70E-18
1.78E+02,3.56E-18
1.78E+02,3.43E-18
1.78E+02,3.30E-18
1.78E+02,3.16E-18
1.78E+02,3.03E-18
1.78E+02,2.90E-18
1.78E+02,2.78E-18
1.78E+02,2.66E-18
1.78E+02,2.54E-18
1.78E+02,2.43E-18
1.78E+02,2.32E-18
1.78E+02,2.21E-18
1.78E+02,2.11E-18
1.79E+02,2.01E-18
1.79E+02,1.92E-18
1.79E+02,1.83E-18
1.79E+02,1.74E-18
1.79E+02,1.66E-18
1.79E+02,1.58E-18
1.79E+02,1.50E-18
1.79E+02,1.43E-18
1.79E+02,1.36E-18
1.79E+02,1.28E-18
1.79E+02,1.22E-18
1.79E+02,1.15E-18
1.79E+02,1.09E-18
1.79E+02,1.02E-18
1.79E+02,9.62E-19
1.79E+02,9.03E-19
1.79E+02,8.45E-19
1.79E+02,7.89E-19
1.80E+02,7.34E-19
1.80E+02,6.81E-19
1.80E+02,6.29E-19
1.80E+02,5.79E-19
1.80E+02,5.31E-19
1.80E+02,4.84E-19
1.80E+02,4.40E-19
1.80E+02,3.97E-19
1.80E+02,3.57E-19
1.80E+02,3.18E-19
1.80E+02,2.82E-19
1.80E+02,2.47E-19
1.80E+02,2.15E-19
1.80E+02,1.85E-19
1.80E+02,1.57E-19
1.80E+02,1.32E-19
1.80E+02,1.08E-19
1.80E+02,8.74E-20
1.80E+02,6.86E-20
1.80E+02,5.20E-20
1.80E+02,3.78E-20
1.80E+02,2.58E-20
1.80E+02,1.61E-20
1.80E+02,8.66E-21
179.9975561,3.53E-21
179.999275,6.69E-22
