# converted from elastic_16_O_2-3Adp.dat: wavenumber(1/cm) to energy(eV)
# E[eV],sigma[cm^2]
0.04900000087655448,1.600811e-14
0.05000000038838539,1.5913050000000002e-14
0.0509999999002163,1.582643e-14
0.05200000065188921,1.574213e-14
0.05300000016372012,1.5655959999999998e-14
0.05400000091539301,1.5577160000000002e-14
0.05500000042722392,1.550044e-14
0.05599999993905484,1.54256e-14
0.05700000069072774,1.534777e-14
0.05800000020255865,1.5276869999999998e-14
0.05900000095423155,1.520683e-14
0.060000000466062464,1.513377e-14
0.06099999997789338,1.506718e-14
0.06200000072956628,1.5002160000000002e-14
0.0630000002413972,1.493376e-14
0.0640000009930701,1.487193e-14
0.065000000504901,1.481192e-14
0.06600000001673192,1.474798e-14
0.06700000076840482,1.469026e-14
0.06800000028023573,1.462931e-14
0.06900000103190863,1.457456e-14
0.07000000054373955,1.4521209999999998e-14
0.07100000005557046,1.446396e-14
0.07200000080724335,1.441267e-14
0.07300000031907428,1.435782e-14
0.07400000107074717,1.4308439999999998e-14
0.07500000058257808,1.425985e-14
0.076000000094409,1.420703e-14
0.07700000084608188,1.416021e-14
0.07800000035791281,1.4108949999999999e-14
0.07900000110958572,1.4063339999999999e-14
0.08000000062141661,1.401335e-14
0.08100000013324754,1.396893e-14
0.08200000088492043,1.3920419999999998e-14
0.08300000039675134,1.38773e-14
0.08400000114842425,1.3829580000000001e-14
0.08500000066025516,1.3787819999999998e-14
0.08600000017208607,1.3741399999999999e-14
0.08700000092375897,1.370092e-14
0.08800000043558989,1.3655869999999999e-14
0.0890000011872628,1.36168e-14
0.0900000006990937,1.3578360000000001e-14
0.09100000021092462,1.3535789999999999e-14
0.0920000009625975,1.3498929999999998e-14
0.09300000047442843,1.3457239999999999e-14
0.09400000122610133,1.3416139999999999e-14
0.09500000073793223,1.33811e-14
0.09600000024976316,1.3341220000000001e-14
0.09700000100143605,1.33078e-14
0.09800000051326696,1.326947e-14
0.09900000126493987,1.3237159999999999e-14
0.10000000077677078,1.320015e-14
0.10000000077677078,1.320015e-14
0.11000000085444785,1.2883009999999999e-14
0.12000000093212493,1.260814e-14
0.130000001009802,1.237248e-14
0.1400000010874791,1.2159130000000001e-14
0.15000000116515616,1.196023e-14
0.16000000124283323,1.1771179999999999e-14
0.17000000132051032,1.160048e-14
0.1800000013981874,1.142872e-14
0.19000000147586446,1.126287e-14
0.20000000155354156,1.1106329999999999e-14
0.21000000163121862,1.095943e-14
0.2200000017088957,1.082028e-14
0.2300000017865728,1.0689870000000001e-14
0.24000000186424986,1.056843e-14
0.25000000194192695,2.7241900000000003e-17
0.260000002019604,1.0343869999999999e-14
0.2700000020972811,1.023631e-14
0.2800000021749582,1.0139749999999999e-14
0.2900000022526352,1.004118e-14
0.3000000023303123,9.946076e-15
0.4000000031070831,9.175441999999999e-15
0.5000000038838539,8.616317999999999e-15
0.6000000046606246,8.202253e-15
0.7000000054373954,7.855314e-15
0.8000000062141662,7.557879e-15
0.900000006990937,7.318626999999999e-15
1.0000000090075498,7.088535e-15
1.1000000097843206,6.89405e-15
1.2000000105610913,6.7174419999999994e-15
1.3000000113378622,6.571922999999999e-15
1.4000000121146328,6.428514e-15
1.5000000128914037,6.2914700000000004e-15
1.7500000148333308,6.0296370000000004e-15
2.0000000167752576,5.820636e-15
2.2500000187171847,5.646555e-15
2.5000000206591113,5.493315e-15
2.7500000226010384,5.358377e-15
3.0000000245429654,5.245313e-15
3.250000027724734,5.123715e-15
3.5000000296666616,5.015411e-15
3.750000031608588,4.943088e-15
4.000000033550515,4.897746999999999e-15
4.250000035492442,4.837652e-15
4.500000037434369,4.754688999999999e-15
4.750000039376296,4.701166e-15
